word,mean,median,var,count
turn,0.229599298469,0.129775730293,0.271054027095,23
telling,0.230699147139,0.235786607809,0.51711490403,23
close,0.230709873511,0.253612431722,0.301071720505,23
so_that,0.231318771033,0.186015863575,0.0562914916557,4
everything's,0.23155882673,0.247098163454,0.422347896045,20
easily,0.232766989241,0.338319224598,0.483609073837,19
plenty,0.232927254296,0.217753088805,0.283225605279,22
actually,0.233275720006,0.278893403593,0.261492429541,22
listen,0.233769084288,0.18233664288,0.317176645559,23
bad,0.23445907558,0.110062403558,0.453090189023,23
difficult,0.236034529663,0.27387513542,0.561094373498,20
comfortable,0.236103402286,0.125351504685,0.440179961291,19
stand,0.236436815058,0.194184837695,0.203704905495,23
job,0.236648297951,0.203832282047,0.314124236194,23
a_lot_of,0.237186760549,0.232871683251,0.236915905341,5
manage,0.239279554798,0.301279495222,0.193216617222,16
stop,0.241259421848,0.0892877717643,0.329740642474,23
remember,0.243186079449,0.246940163817,0.10832099688,23
upset,0.243845817022,0.426869166366,0.397958718388,18
finding,0.243921614324,0.336334296658,0.407072622864,20
morning,0.244817901329,0.217484301114,0.168625151035,23
my_goodness,0.247046650779,0.00662756425223,0.430994692499,8
popular,0.250550415884,0.386735918533,0.411642856093,5
wow,0.251345884349,0.244619224421,0.287626832502,21
gone,0.251349590433,0.292137257502,0.169709889781,23
helpful,0.25175148412,0.218155296265,0.538303846517,16
&um,0.252030799582,0.257669119198,0.150400009895,23
believe,0.252033665808,0.2468720842,0.268198489539,19
dropped,0.253177823287,0.223930044224,0.341663828847,23
love,0.254237122832,0.12304267783,0.329595963984,23
part,0.254652655109,0.186760519158,0.406507190581,20
where'd,0.2561446482,0.174583904191,0.368207479466,13
word,0.256827245409,0.326223786544,0.286534783537,23
looked,0.258475034957,0.281833860244,0.536150955906,23
gotten,0.260049245964,0.310994382369,0.449752730565,7
told,0.260446459363,0.215209376261,0.249814585756,23
ago,0.260527722801,0.222213624881,0.324610754257,23
mummy's,0.262479512132,0.243125990267,0.170991392076,16
day,0.262539053896,0.154740655502,0.242807364665,23
fell,0.262752206695,0.17117428081,0.217455379576,23
dying,0.263815987957,0.00180234702934,0.364436659964,9
took,0.265254917753,0.291653817363,0.353350738825,23
choice,0.266895616268,0.403445074761,0.299900474479,15
stuck,0.267914136346,0.152105342685,0.166118733881,23
certain,0.268158037056,0.411145340386,0.203713658443,11
finish,0.268980421585,0.237252694848,0.406918624593,23
gonna,0.26901625095,0.206967834781,0.272476706715,21
stick,0.269340699139,0.227610851854,0.203791934343,23
sweetheart,0.270386711023,0.199592301468,0.277141384217,20
second,0.270906044679,0.331192304281,0.259896563062,13
breaking,0.271271877054,0.313683913989,0.263304769014,21
tease,0.271304950637,0.352419077918,0.157740657449,11
alone,0.271349781918,0.331416219075,0.328029154824,22
why're,0.271374467362,0.323896846011,0.543789676816,12
gotta,0.271461917796,0.282634337523,0.293474884939,16
mine's,0.271549899398,0.190557696935,0.192818089394,15
threw,0.274614883646,0.36017366372,0.32184683929,22
completely,0.275280670462,0.29504799057,0.526039474269,12
